frame,primary_activation,secondary_activation,combined_activation
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,7.598093201953684e-160,0.0,7.598093201953684e-160
12,1.0465098998330532e-57,0.0,1.0465098998330532e-57
13,1.4798890280849612e-27,0.0,1.4798890280849612e-27
14,3.364833222231769e-16,0.0,3.364833222231769e-16
15,2.5648553113491065e-11,0.0,2.5648553113491065e-11
16,5.499886196140975e-9,0.0,5.499886196140975e-9
17,1.1514451774571392e-7,0.0,1.1514451774571392e-7
18,9.809153320039859e-7,0.0,9.809153320039859e-7
19,6.939827813113062e-6,0.0,6.939827813113062e-6
20,5.065717870025764e-5,1.719541669114726e-134,5.065717870025764e-5
21,0.00036190407113778227,7.289496769848434e-29,0.00036190407113778227
22,0.002257087316477205,1.4070412570216494e-10,0.002257087457181331
23,0.0111924138430057,5.069641535901754e-5,0.011243110258364717
24,0.04192344178451562,0.006783561707835988,0.0487070034923516
25,0.1174961974022488,0.05340658788747051,0.1709027852897193
26,0.25170308039125566,0.12925838893989613,0.3809614693311518
27,0.42822103975020903,0.187476007775166,0.615697047525375
28,0.6037930695155782,0.22037449450533902,0.8241675640209172
29,0.7342326658375335,0.23996898658844934,0.9742016524259829
30,0.7965264241506392,0.25441155069425936,1.0509379748448986
31,0.7934693079408429,0.2659386193560261,1.059407927296869
32,0.7536536329900321,0.2755324409552656,1.0291860739452976
33,0.7081229686115247,0.2828498983648446,0.9909728669763693
34,0.6732590414506179,0.2873550799519721,0.9606141214025901
35,0.6519503181110028,0.2892263449869472,0.94117666309795
36,0.6408024532071929,0.28932317543263636,0.9301256286398292
37,0.6350482790847582,0.2886014993862696,0.9236497784710278
38,0.6306800334143414,0.287710974588781,0.9183910080031223
39,0.6245917722379413,0.2870421915270035,0.9116339637649448
40,0.6142502863014402,0.2868042942477195,0.9010545805491597
41,0.5979831338699053,0.2870117740037662,0.8849949078736715
42,0.5758363964886114,0.2875300051661527,0.8633664016547641
43,0.5511809960722025,0.28814806119535585,0.8393290572675584
44,0.532709800051388,0.288652934662725,0.821362734714113
45,0.5353733260690009,0.28888809782628083,0.8242614238952817
46,0.5774694340293963,0.2887853236116084,0.8662547576410047
47,0.6708339924757638,0.28836497412559137,0.9591989666013552
48,0.8042481727725943,0.2877086641990948,1.091956836971689
49,0.9287721239433564,0.2869167251372025,1.2156888490805589
50,0.9645492306076375,0.28606598866773725,1.2506152192753748
51,0.8461108815875557,0.28519341110803176,1.1313042926955874
52,0.5872817195031361,0.2843331828798254,0.8716149023829616
53,0.29631267178842974,0.2836376520175388,0.5799503238059686
54,0.09440438707396959,0.2835812770626525,0.3779856641366221
55,0.014551307505291003,0.2851782827848852,0.2997295902901762
56,0.0007262331355393202,0.2892479458206248,0.2899741789561641
57,6.933533078219968e-6,0.28689888987660506,0.2869058234096833
58,5.7567613419691275e-9,0.2282843488593229,0.22828435461608423
59,1.584420290328126e-13,0.06803410917010691,0.06803410917026535
60,3.957235299320353e-20,0.0003974117552738201,0.0003974117552738202
61,1.9137304495198048e-29,4.430455906319379e-14,4.430455906319381e-14
62,1.0991528514253135e-42,6.37099402676883e-86,1.0991528514253135e-42
63,1.0490021185139678e-62,0.0,1.0490021185139678e-62
64,4.8134296584849946e-98,0.0,4.8134296584849946e-98
65,1.5039196130452066e-182,0.0,1.5039196130452066e-182
66,0.0,0.0,0.0
67,0.0,0.0,0.0
68,0.0,0.0,0.0
69,0.0,0.0,0.0
70,0.0,0.0,0.0
71,0.0,0.0,0.0
72,0.0,0.0,0.0
73,0.0,0.0,0.0
74,0.0,0.0,0.0
75,0.0,0.0,0.0
76,0.0,0.0,0.0
77,0.0,0.0,0.0
78,0.0,0.0,0.0
79,0.0,0.0,0.0
80,0.0,0.0,0.0
81,0.0,0.0,0.0
82,0.0,0.0,0.0
83,0.0,0.0,0.0
84,0.0,0.0,0.0
85,0.0,0.0,0.0
86,0.0,0.0,0.0
87,0.0,0.0,0.0
88,0.0,0.0,0.0
89,0.0,0.0,0.0
90,0.0,0.0,0.0
91,0.0,0.0,0.0
92,0.0,0.0,0.0
93,0.0,0.0,0.0
94,0.0,0.0,0.0
95,0.0,0.0,0.0
96,0.0,0.0,0.0
97,0.0,0.0,0.0
98,0.0,0.0,0.0
99,0.0,0.0,0.0
100,0.0,0.0,0.0
101,0.0,0.0,0.0
102,0.0,0.0,0.0
103,0.0,0.0,0.0
104,0.0,0.0,0.0
105,6.799768167365167e-120,0.0,6.799768167365167e-120
106,9.794909919638752e-38,0.0,9.794909919638752e-38
107,4.0912589413095854e-16,1.9654688258387715e-46,4.0912589413095854e-16
108,3.832032299312843e-8,1.7499600702859056e-6,1.788280393279034e-6
